제목,내용,기자,날짜
공공기관 ‘개인정보 관리수준 진단’ 대폭 강화한다,"개인정보보호위원회(위원장 고학수, 이하 ‘개인정보위’)는 11월 11일(금), 서울 종로구 정부서울청사에서 ‘2022년 공공기관 개인정보 관리수준 진단위원...",원병철 기자,2022년 11월 10일 15:09
삼성 스마트폰에서 세 가지 제로데이 취약점 발견돼,보안 블로그 시큐리티어페어즈가 구글 프로젝트 제로 팀의 발표를 인용해 삼성 스마트폰에서 세 가지 제로데이 취약점이 발견됐다고 보도했다. 이 취약점은 CVE...,문가용 기자,2022년 11월 10일 13:30
아웃룩과 선더버드 계정 훔치는 스트렐라스틸러 멀웨어, IT 외신인 블리핑컴퓨터에 의하면 스트렐라스틸러(StrelaStealer)라는 새로운 멀웨어가 등장했다고 한다. 아웃룩과 선더버드(Thunderbird)...,문가용 기자,2022년 11월 10일 13:29
"APT29, 유럽의 외교 단체들 공격하기 위해 윈도 익스플로잇",보안 외신 해커뉴스에 의하면 러시아의 APT 단체로 알려진 APT29가 잘 알려지지 않은 윈도 기능 중 하나인 크리덴셜로밍(Credential Roamin...,문가용 기자,2022년 11월 10일 13:27
디지털산업 활력 위해 12개 규제 혁신한다,과학기술정보통신부는 지난 9일 제2차 규제혁신전략회의(총리 주재)에서 ‘디지털산업 활력 제고 규제 혁신 방안’을 발표했다. 디지털 기술의 빠른 변화와 심화...,박미영 기자,2022년 11월 10일 11:20
"사이버보안 위협 급증하는 미래자동차, 국내 기업 3사의 보안 대응전략은? ",유엔유럽경제위원회(UNECE)는 올해 7월부터 유럽에서 생산되는 모든 자동차에 사이버보안을 위한 기술적 조치를 의무화할 것을 규정했다. 이렇듯 전 세계적으...,김영명 기자,2022년 11월 09일 23:09
"BEC 공격자이자 인스타그램 인플루언서, 11년형 선고 받아",나이지리아의 인스타그램 인플루언서인 허시퍼피(Hushpuppi)가 미국에서 11년 형을 선고받았다고 영국 일간지 BBC가 보도했다. 허시퍼피는 인스타그램에...,문가용 기자,2022년 11월 09일 16:58
"파이선 개발자들 노리는 악성 패키지들, 암호화폐 노린다","파이선 개발자들을 노리는 악성 파이선 패키지가 돌아다니는 중이라는 경고가 보안 외신 핵리드로부터 나왔다. 이 악성 패키지들은 수가 수십 개에 달하며, 전부...",문가용 기자,2022년 11월 09일 16:57
"아마디봇, 록빗3.0 랜섬웨어 유포 중",보안 외신 해커뉴스에 의하면 악명 높은 봇넷인 아마디봇(Amadey Bot)이 최근 유명 랜섬웨어인 록빗3.0(LockBit 3.0)과 손을 잡은 것으로 ...,문가용 기자,2022년 11월 09일 16:55
구글 크롬의 원격 제어 가능하게 해 주는 악성 플러그인 ,"IT 외신 블리핑컴퓨터에 의하면 크로미움 생태계에 악성 봇이 등장했다고 한다. 이 봇의 이름은 클라우드나인(Cloud9)이며, 악성 플러그인들을 피해자의 ...",문가용 기자,2022년 11월 09일 16:54
"화웨이, 5G 및 인공지능 기반 스마트 광산 구축 가속","화웨이가 5G, 인공지능 등 첨단 기술이 광산 산업 전환을 가속화함에 따라 스마트 광산 운영체제인 ‘마인하모니(MineHarmony)’를 출시한지 1년 만...",원병철 기자,2022년 11월 10일 15:35
정보보안 꿈나무를 위한 ‘사이버 가디언즈 콘퍼런스’ 성료,과학기술정보통신부(장관 이종호)와 한국정보기술연구원(원장 유준상)은 11월 9일(수)에 서울 영등포구에 위치한 루나미엘레 그랜드볼룸에서 ‘2022 사이버 ...,원병철 기자,2022년 11월 10일 15:23
"산업부, 데이터센터 수도권 집중 완화 방안 마련","산업통상자원부는 지난 9일 이호현 전력혁신정책관 주재로 한전 등 공공기관, 민간 전문가 및 업계 종사자 등이 참석하는 ‘데이터센터 지역 분산 간담회’를 개...",박미영 기자,2022년 11월 10일 11:02
"산업부 수출현장지원단, ICT 분야 수출 확대 방안 모색",산업통상자원부 수출현장지원단은 지난 9일 ICT 기업들의 수출 확대 지원을 위한 9차 간담회를 개최했다. 이번 간담회에는 소프트웨어·스마트시티·교통시스템·...,박미영 기자,2022년 11월 10일 10:59
"과기정통부, ‘글로벌 ICT 표준 컨퍼런스’ 개최","과학기술정보통신부는 지난 9일부터 11일까지 ‘글로벌 ICT 표준 컨퍼런스 2022(GISC 2022, Global ICT Standards Confere...",박미영 기자,2022년 11월 10일 10:56
"효성인포메이션시스템, ‘히타치 밴타라’ 가트너 매직 쿼드런트 프라이머리 스토리지 부문 리더 선정",데이터 인프라 및 솔루션 전문기업 효성인포메이션시스템(대표 양정규)은 ‘2022 가트너 매직 쿼드런트(Gartner® Magic Quadrant) 프라이머...,엄호식 기자,2022년 11월 10일 10:53
"검역본부, 빅데이터를 활용한 가축방역시스템 고도화 추진","농림축산검역본부는 국가재난형 가축전염병을 사전에 예방하고, 확산을 방지하기 위해 현재 운영하고 있는 국가가축방역통합시스템(KAHIS)을 빅데이터·인공지능 ...",박미영 기자,2022년 11월 10일 10:51
"문체부, 다중 이용 문화시설 52개소 특별 안전 점검 실시",문화체육관광부는 지난 9일부터 12월 8일까지 문체부 소관 다중 이용 문화시설에 대한 특별 안전 점검을 실시한다. 정부가 이태원 사고의 후속 조치로 실시하...,박미영 기자,2022년 11월 10일 10:50
"문체부, ‘2022 문화데이터 활용 경진대회 및 개방 우수기관 시상식’ 개최",문화체육관광부는 한국문화정보원과 함께  10일 ‘2022 문화데이터 활용 경진대회 및 개방 우수기관 시상식’을 개최했다. 행사에서는 제10회 경진대회 수상...,박미영 기자,2022년 11월 10일 10:45
"LG전자, 전장사업 디지털 전환으로 자동차 부품 품질 높인다","LG전자가 디지털 전환(DX, Digital Transformation)을 자동차 부품 개발 과정에 도입해 제품 품질을 향상시키고 전장사업 성장을 가속화한...",박미영 기자,2022년 11월 10일 10:31
"인천공항공사, 2022 대한민국 항공보안 경진대회 및 세미나 개최",인천국제공항공사(사장 김경욱)는 공사 인재개발원에서 국내 항공보안 전문가와 전국 공항의 우수 항공보안요원 300여명이 모인 가운데 ‘2022 대한민국 항공...,김영명 기자,2022년 11월 10일 10:30
"LG유플러스 서비스·플랫폼에 양자내성암호, 물리적 복제 방지 기술 이중 보안 적용",LG유플러스가 사물인터넷(IoT) 보안 전문 기업 ICTK홀딩스와 함께 개발한 양자 보안칩 적용 서비스 분야를 대폭 확대한다. 이를 위해 양사는 업무협약을...,박미영 기자,2022년 11월 10일 09:55
"삼성전자, 스마트싱스 홈 IoT 솔루션 적용 아파트 10만세대 돌파",삼성전자의 스마트싱스(SmartThings) 기반 홈 IoT 솔루션을 적용한 스마트 아파트가 10만세대를 돌파했다. 이는 국내 가전 업체로서는 가장 큰 규...,박미영 기자,2022년 11월 10일 09:54
"카카오, 전통시장의 디지털전환 돕는 프로젝트 확대 실시",카카오의 기업재단 카카오임팩트가 지난 9일 전통시장 소상공인의 디지털 전환과 소통을 돕는 ‘우리 동네 단골시장’ 대상을 전국 전통시장 10곳으로 확대했다고...,박미영 기자,2022년 11월 10일 09:51
"한국지질자원연구원, 데이터 품질인증 ‘최고 등급’ 획득",한국지질자원연구원(KIGAM)이 운영하는 ‘지오빅데이터 오픈 플랫폼’이 한국데이터산업진흥원의 데이터 품질인증(DQC-V) 심사에서 최고 등급인 ‘플래티넘 ...,박미영 기자,2022년 11월 10일 09:46
"천안시, 공간정보시스템 활용·보안 교육 실시",천안시가 지난 9일부터 10일까지 이틀간 신규 임용 공무원 등을 대상으로 ‘2022 공간정보시스템 활용 및 보안 관리 교육’을 실시했다. 공간정보시스템은 ...,박미영 기자,2022년 11월 10일 09:45
"심폐소생술 교육, 가까운 소방서로 신청하세요",세종시민 중 심폐소생술 교육을 받고 싶은 이들은 가까운 소방서를 방문하면 된다. 세종소방본부는 현재 관내 소방서 8곳에서 심폐소생술 상설 교육을 진행 중이...,박미영 기자,2022년 11월 10일 09:40
"세종시, 드론 기술 고도화로 신성장동력 마련한다",드론실증도시 세종시가 드론서비스 기술력 고도화로 상용화 실증을 위한 시험무대(테스트베드)로 도약하고 있다. 시는 ‘2022년 드론실증도시 구축 사업’ 최종...,박미영 기자,2022년 11월 10일 09:33
"교통안전공단, AI 영상분석 기반 첨단 단말기 및 관제시스템 시범 운영",한국교통안전공단은 위험물 운송차량 교통사고 관리 방안의 표준을 마련하고 기술을 고도화하기 위해 지난 9일 에이아이매틱스와 ‘AI 영상분석 기반 첨단 단말장...,박미영 기자,2022년 11월 10일 09:29
"DSEC 2022, 대구·경북 지역 사이버보안 위협과 대응 전략 논의의 장 마련",제8회 대구 사이버보안 콘퍼런스 2022(이하 ‘DSEC 2022’)가 10일 대구 엑스코(EXCO)에서 개최된다. 올해 DSEC 2022 주제는 ‘사이버...,김영명 기자,2022년 11월 09일 18:09
다크웹에 호주 국민 건강 기록 유출돼,보안 외신 시큐리티위크에 의하면 이번 주 수요일부터 다크웹의 한 공격 단체가 호주 건강 보험사의 내부 정보를 유출하기 시작했다고 한다. 해당 기업은 1천만...,문가용 기자,2022년 11월 09일 16:53
"[설문조사] 기업·기관 개인정보보호 담당자 1,488명에게 물었습니다 ","국내 기업의 개인정보보호 책임자 및 담당자들은 어떤 업무를 주로 하고 있으며,  개인정보보호를 위해 어떤 솔루션을 도입해서 활용하고 있을까? 이에 본지에서...",김영명 기자,2022년 11월 09일 15:57
"기업에 설치된 CCTV와 생체인식 장비, ‘개인정보’는 안전할까?",안전과 보안을 위해 CCTV나 지문인식 같은 생체인식 장비를 설치한 기업들이 늘어나면서 임직원들의 ‘개인정보’ 보호에 대한 논란이 지속되고 있다. 이에 개...,원병철 기자,2022년 11월 09일 15:53
"시놀로지, 내년 상반기 IP 카메라 출시한다",네크워크 스토리지 NAS(Network Attached Storage) 분야의 세계적인 기업 시놀로지(Synology)가 연례행사인 ‘Synology Us...,엄호식 기자,2022년 11월 09일 14:59
"방사청, ‘국방혁신 4.0’ 선도를 위한 국방반도체 발전전략 수립 토론회 개최",방위사업청은 서울대와 공동 주관으로 지난 8일 ‘미래 첨단 무기체계에 적용될 국방반도체 선제적 확보 통해 ‘국방혁신 4.0’을 선도한다’라는 슬로건으로 제...,박미영 기자,2022년 11월 09일 14:56
"유통데이터 활용, 새로운 비즈니스 모델을 찾다",산업통상자원부는 지난 8일 ‘제1회 유통데이터 활용 경진대회’를 개최했다. 이번 경진대회는 시장에서 판매되고 있는 상품에 대한 소비자 거래정보와 상품정보 ...,박미영 기자,2022년 11월 09일 14:55
실리콘밸리에서 우리 디지털 기업의 글로벌 진출 교두보 마련한다,과학기술정보통신부는 국내 디지털 기업의 미국시장 진출을 지원하기 위한 ‘K-Global@실리콘밸리 2022’를 실리콘밸리 현지에서 지난 7일부터 8일(미국...,박미영 기자,2022년 11월 09일 14:54
"주소, 현실을 넘어 가상세계 신산업 기반으로",행정안전부는 9일부터 11일까지 부산대에서 주소 기반 데이터·네트워크·인공지능(D.N.A.) 생태계 조성을 위한 대토론회를 개최하고 주소를 활용한 산업화 ...,박미영 기자,2022년 11월 09일 14:52
"농식품부, ‘스마트농업 육성 및 지원에 관한 법률’ 제정안 국무회의 통과",농림축산식품부는 ‘스마트농업 육성 및 지원에 관한 법률’ 제정안이 지난 8일 국무회의를 통과했다고 밝혔다. 지난 8일 제49회 국무회의 의결로 스마트농업의...,박미영 기자,2022년 11월 09일 14:50
"KT 구현모 대표, GSMA 이사회 멤버로 재선임",KT는 구현모 대표가 GSMA(세계이동통신협회) 이사회 멤버에 재선임됐다고 지난 8일 밝혔다. 세계 최대 이동통신사업자 연합체인 GSMA 이사회는 전 세계...,박미영 기자,2022년 11월 09일 14:49
"SK텔레콤, 기술에 대한 인사이트 교환의 장 ‘SK 테크 서밋 2022’ 개막","SK그룹의 기술 역량을 결집해 기술 생태계 조성을 도모하는 기술 컨퍼런스 ‘SK 테크 서밋’이 막을 올렸다. SK텔레콤은 SK그룹 17개사가 참여해 AI,...",박미영 기자,2022년 11월 09일 14:48
"LG유플러스-청주대, 메타버스 캠퍼스 연다","청주대 23학번 신입생들은 메타버스로 수업에 참여할 수 있게 된다. LG유플러스는 청주대와 대학 특화 메타버스 플랫폼 ‘메타라이프’(Meta-Life, C...",박미영 기자,2022년 11월 09일 14:47
"삼성전자, 제6회 ‘삼성 AI 포럼’ 개최",삼성전자가 지난 8일부터 이틀간 ‘삼성 AI 포럼 2022’를 개최했다. 올해로 6회째를 맞은 ‘삼성 AI 포럼’은 세계적인 AI(인공지능) 석학과 전문가...,박미영 기자,2022년 11월 09일 14:45
지하철 연단 간격·단차 정보 확인해 더욱 안전하게 탑승하세요,"서울교통공사와 카카오의 업무 협력으로, 지난 10월 11일부터 카카오맵 앱에 연단 간격과 단차 정보가 현시되고 있다. 승객이 연단 정보를 미리 확인하며 바...",박미영 기자,2022년 11월 09일 13:36
"춘천시, 운영 시스템 민간 클라우드 전환 완료… 22개 기관 중 1순위",춘천시 운영 시스템 중 춘천사랑상품권 홈페이지가 올해 전국 22개 기관 중 1순위로 민간 클라우드 기반 디지털 전환을 완료했다. 이를 시작으로 춘천시는 코...,박미영 기자,2022년 11월 09일 13:35
"DGIST, 국내 센서·반도체 전문가 총집합 ‘DGIF 2022’ 개최",DGIST는 9일과 10일 양일간 ‘DGIF 2022(DGIST Global Innovation Festival 2022)’를 개최한다. DGIF는 매년 ...,박미영 기자,2022년 11월 09일 13:34
양자컴퓨팅 분야 글로벌 경쟁력 확보 위해 국내 기업들 힘 모은다,한국과학기술정보연구원(KISTI)은 ‘양자정보과학 기술교류회 및 양자컴퓨팅 산업 선도기업 연합 창립총회’를 지난 8일 개최했다. 현재 우리나라의 양자정보 ...,박미영 기자,2022년 11월 09일 13:33
"남원시, 2023년 스마트빌리지 보급 및 확산사업 공모 선정",남원시는 과학기술정보통신부에서 주관하는 ‘2023년 스마트 빌리지 보급 및 확산’ 공모 사업에 선정돼 국비 10억원을 확보했다. 이번 공모 사업은 지역 현...,박미영 기자,2022년 11월 09일 13:31
"로봇산업진흥원, 2022 산학프로젝트 챌린지에 로봇 분야 5개 팀 본선 진출",한국로봇산업진흥원은 산업통상자원부 산업혁신인재성장지원사업의 일환인 로봇전문인력양성사업 산학프로젝트 5개 팀이 ‘2022년 산학프로젝트 챌린지’ 본선에 진출...,박미영 기자,2022년 11월 09일 13:30
"ETRI, ‘국가연구개발 우수 성과 100선’ 최다 선정",과학기술정보통신부가 발표한 ‘2022년 국가연구개발 우수 성과 100선’에 한국전자통신연구원(ETRI)의 성과 9건이 선정됐다. ETRI는 4년 연속으로 ...,박미영 기자,2022년 11월 09일 13:29
"여주시, 경기도 정보보안 관리실태 평가 결과 ‘2단계’ 향상","여주시는 2022년도 경기도 정보보안 관리실태 평가에서 S등급을 받았다. 이는 전년도 B등급에서 2단계 향상된 것으로, 다년간 정보보안 관리에 대한 실질적...",박미영 기자,2022년 11월 09일 13:27
"인천시, 인천남동산단에 스마트융합산업 선도할 지원센터 개소",인천시는 지난 8일 남동산업단지에 구축한 전국 최초의 ‘스마트융합제조지원센터’ 개소식을 개최했다고 밝혔다. 지원센터는 지난해 정부(산업통상자원부) 공모에 ...,박미영 기자,2022년 11월 09일 13:25
"인천경제청, 다목적 CCTV 확대 설치·개선 사업 준공",인천경제자유구역청은 ‘IFEZ(인천경제자유구역) 다목적 CCTV(폐쇄회로 TV) 확대 설치 및 개선 사업’이 지난달 말 완료됨에 따라 시민들에게 고품질의 ...,박미영 기자,2022년 11월 09일 13:24
"안양시, 지하보도 안심비상벨 20개소 설치",안양시가 시민 안전과 범죄 예방을 위해 공영주차장 및 공중화장실에 설치한 안심비상벨을 관내 지하보도까지 확대 설치하고 운영한다. 시는 행정안전부 재난안전관...,박미영 기자,2022년 11월 09일 13:22
"제주도, 월동채소 재배면적 드론 관측 조사 시작",제주도는 본격적인 생육·비대기에 접어든 주요 월동채소의 품목별 재배면적 조사를 위한 드론 촬영이 이번 달 7일부터 다음 달 16일까지 진행된다고 밝혔다.,박미영 기자,2022년 11월 09일 13:21
"교통안전공단, 우회전 차량 교통섬 지날 때 일시정지 비율 31.7% 불과","한국교통안전공단은 “전국 34개 교차로를 대상으로 우회전 시 횡단보도 앞 일시정지 실태를 조사한 결과, 일시정지한 비율이 교통섬이 있는 경우 31.7%·일...",박미영 기자,2022년 11월 09일 13:20
개정 ‘클라우드컴퓨팅법’ 시행에 따른 고시 개정안 설명회 열린다 ,"과학기술정보통신부(장관 이종호, 이하 과기정통부)와 한국인터넷진흥원(원장 이원태)은 오는 14일 오후 2시 서울역 공간모아 6층 대회의실에서 클라우드 보안...",김영명 기자,2022년 11월 09일 13:14
트렌드마이크로 “보안도 플랫폼 관점에서 통합적 접근 필요”,글로벌 클라우드 보안 선도 기업 트렌드마이크로(지사장 김진광)는 9일 개최한 2023년 전략 발표 기자 간담회에서 급변하는 IT 환경 및 확장된 공격 접점...,원병철 기자,2022년 11월 09일 11:35
2023년 디지털금융 및 사이버보안 ‘10대 이슈’는?,"사상 최대의 제로데이 취약점과 엔데믹 취약점 등 보안위협이 가속화되는 가운데, 이에 대응할 수 있도록 2023년 디지털금융과 사이버보안 분야에서 주목해야 ...",원병철 기자,2022년 11월 09일 11:26
"이스트소프트, AI 기술 기반 이미지로 글로벌 시장 공략",AI 서비스 전문기업 이스트소프트(대표 정상원)는 9일 글로벌 스톡 콘텐츠 전문기업 게티이미지코리아(대표 박건원)와 AI 기술을 활용한 이미지 생성 및 판...,김영명 기자,2022년 11월 09일 11:22
"포티넷, 고성능 차세대 방화벽 ‘포티게이트 1000F’ 시리즈 발표",광범위하고 자동화된 통합 사이버보안 분야의 글로벌 리더인 포티넷코리아(대표 조원균)는 최신 고성능 NGFW(차세대 방화벽)인 ‘FortiGate 1000F...,김영명 기자,2022년 11월 09일 11:21
"캡스텍, 지역기반 무인매장 정기관리 서비스 ‘브라우니 블랙’ 출시",종합시설관리 전문기업 캡스텍(대표이사 천세훈)은 ‘비대면 무인매장’ 시대에 발맞춰 무인매장 관리에 최적화된 솔루션을 선보인다고 9일 밝혔다. ‘캡...,엄호식 기자,2022년 11월 09일 11:18
"마크애니, 인공지능 기반 실종자 수색 솔루션 시범 운영 ‘시동’",통합정보보호 기업 마크애니(대표 최고)는 11월 17일부터 한 달간 제주특별자치도에서 인공지능 영상검색 및 이동경로 추적 솔루션을 시범 운영할 계획이라고 ...,엄호식 기자,2022년 11월 09일 11:17
"인섹시큐리티, 디지털포렌식 ‘CTI 기반 랜섬웨어 및 암호화폐 추적 세미나’ 개최","디지털 포렌식, 모바일 포렌식, 악성코드 포렌식 전문업체인 인섹시큐리티(대표 김종광)는 보안 및 디지털 포렌식 담당자들을 대상으로 ‘사이버 위협 인텔리전스...",김영명 기자,2022년 11월 09일 11:15
"CJ올리브네트웍스-KISA, 중소기업 정보보호 지원 위한 ‘화이트햇 투게더’ 결과공유회 연다","CJ올리브네트웍스(대표 차인혁)는 한국인터넷진흥원(원장 이원태. 이하 ‘KISA’), 파인더갭(대표 김오중)과 함께 올해 총 13개 중소기업에 대한 정보보...",김영명 기자,2022년 11월 09일 11:12
"‘국가사이버안보 기본법’ 속도내나... 국정원, 제정안 입법예고  ","국가정보원(이하 국정원)은 사이버공격에 대응하기 위해 8일 ‘국가사이버안보 기본법’ 제정안을 입법예고한다고 밝히며, 다음 달 19일까지 제정안에 대한 의견...",김영명 기자,2022년 11월 09일 08:47
휴대폰 데이터 유출방지 자율개선 민관협의회 출범,"방송통신위원회(위원장 한상혁, 이하 ‘방통위’)는 이동통신사, 유통협회, 한국소비자단체협의회, 중고폰 업계, 연구기관 등 관련 전문가 16명이 참여하는 ‘...",김영명 기자,2022년 11월 08일 19:24
"큐냅, ZFS 기반 QuTS hero h5.0.1 출시","컴퓨팅, 네트워킹 및 스토리지 솔루션의 선도적인 혁신 기업 큐냅(QNAP, 한국지사장 라이언 조)이 ZFS 기반 NAS 운영 체제의 최신 버전인 QuTS ...",엄호식 기자,2022년 11월 08일 16:18
"첨단 기술 적용 3개 소프트웨어 의료기기, 맞춤형 신속 분류 품목 첫 지정",식품의약품안전처는 신기술·융복합 기술 등을 적용해 새롭게 개발된 ‘피부암 영상검출·진단보조소프트웨어’ ‘언어음성 장애진단보조소프트웨어’ 및 ‘안구운동 분석...,박미영 기자,2022년 11월 08일 16:16
"소부장 기술 확보, ‘후속진단 특허 기반 연구개발 전략’으로 끝까지 지원한다",특허청은 반도체 등 소재·부품·장비(소부장) 경쟁력 강화 및 우수 특허 확보를 위해 ‘후속진단 특허 기반 연구개발 전략(IP-R&D)’을 지원한다.,박미영 기자,2022년 11월 08일 16:15
"식약처, 인공지능 의료기기 국제적 규제 조화 선도에 박차",식품의약품안전처는 ‘국제 의료기기 규제당국자 포럼(IMDRF)’ 내 인공지능(AI) 의료기기 실무그룹(working group)의 정례 회의를 지난 3일부...,박미영 기자,2022년 11월 08일 16:14
"산업부, 기업형 벤처캐피탈 주도 혁신기업 지원 스케일업 사업에 6개 기업 신청",산업통상자원부는 기업형 벤처캐피탈 주도의 혁신기업 지원 스케일업 펀드 운용사 모집에 6개 중견·대기업 계열 벤처캐피탈이 신청서를 제출했다고 밝혔다.,박미영 기자,2022년 11월 08일 16:12
"KT, 양자 채널 일원화 장비 개발",KT가 양자암호통신에서 양자 채널을 일원화하는 장비를 개발했다고 밝혔다. KT가 개발한 양자 채널 일원화 장비는 광 신호 간 간섭을 억제해 신호대 잡음비를...,박미영 기자,2022년 11월 08일 16:10
"KT-현대제뉴인, 공사 현장 시설물 보호 위한 기술 협력 맞손",KT가 지난 3일 현대제뉴인과 ‘상호 플랫폼 연동 및 기술 협력’에 관한 업무협약(MOU)을 체결했다고 밝혔다. 양사는 이번 협약을 통해 건설기계 위치정보...,박미영 기자,2022년 11월 08일 16:07
"권기섭 고용부 차관, 청년 일경험 활성화 위해 마이크로소프트사와 협력 방안 논의",고용노동부 권기섭 차관은 지난 7일 마이크로소프트(Microsoft)사와 협력 간담회를 통해 청년 일경험 등 고용 지원 프로그램 제공을 위한 협력 방안에 ...,박미영 기자,2022년 11월 08일 16:05
"과기정통부, ‘제5차 과학기술기본계획’ 대국민 공청회 개최",과학기술정보통신부는 지난 7일 ‘제5차 과학기술기본계획(2023~2027)(안)’ 수립을 위한 대국민 공청회를 개최했다. 제5차 기본계획은 과학기술기본법 ...,박미영 기자,2022년 11월 08일 16:01
"소방시설 자체 점검 대상 표본조사 결과, 190개소 중 79개소서 위반 사항 94건 적발","소방청은 지난 9월 26일부터 10월 7일까지 전국 소방시설 자체 점검 대상 190개소를 표본으로 시도 간 교차 조사를 실시한 결과, 79개소에서 94건의...",박미영 기자,2022년 11월 08일 16:00
"과기정통부, 2022년 국가연구개발 우수 성과 100선 선정",과학기술정보통신부는 ‘2022년 국가연구개발 우수 성과 100선’을 선정해 최종 발표했다. 우수 성과 100선은 국가 발전을 견인해 온 과학기술의 역할에 ...,박미영 기자,2022년 11월 08일 15:56
세상을 혁신할 첨단 산업 인재들의 꿈의 무대가 펼쳐진다,‘2022년 산업혁신인재 위크’ 행사가 8일부터 11일까지 일산 킨텍스에서 산업통상자원부(이하 산업부)가 주최하고 한국산업기술진흥원(이하 KIAT)이 주관...,박미영 기자,2022년 11월 08일 15:51
"LG전자, 협력사 사이버보안 챙긴다",LG전자가 ESG 경영을 강화하는 가운데 협력사의 사이버보안 경쟁력을 높이는 데 적극 나서며 지속가능한 상생(相生)을 실천한다. LG전자는 최근 ‘협력사 ...,박미영 기자,2022년 11월 08일 15:49
"삼성전자, 28㎓대역 5G 통신으로 업계 최고 전송 거리와 다운로드 속도 신기록 달성",삼성전자가 28㎓ 주파수를 활용한 장거리 5G 통신 시험에서 전송 거리와 다운로드 속도에서 글로벌 업계 신기록을 모두 달성했다. 삼성전자는 호주 이동통신업...,박미영 기자,2022년 11월 08일 15:47
"국가철도공단, 지속가능 성장을 위한 ‘2030 기술전략 로드맵’ 수립","국가철도공단은 정부의 국정기조 이행과 안전한 철도 구현, 미래 철도기술 선도를 위해 5대 혁신 기술을 기반으로 ‘2030 기술전략 로드맵’을 수립했다고 밝...",박미영 기자,2022년 11월 08일 15:45
"경기도, 안양시·한국광기술원과 ‘미래 먹거리’ 확장현실(XR) 산업 기반 구축",경기도가 ‘미래 먹거리’로 꼽히는 확장현실(XR) 산업 육성을 위해 기반 구축과 전문인력 양성에 나선다. 염태영 경기도 경제부지사는 지난 4일 안양 한국광...,박미영 기자,2022년 11월 08일 15:44
"경기도 의용소방대, 올해 심폐소생술 보급 교육 1만1,089회 실시","경기도 소방재난본부는 의용소방대가 올들어 9월까지 도민 23만8,312명을 대상으로 심폐소생술 보급 교육을 총 1만1,089회 실시했다고 밝혔다.",박미영 기자,2022년 11월 08일 15:43
"경기도, 실습 중심 안전 교육으로 ‘이륜차 배달노동자 안전 습관’ 키운다",경기도는 안전한 배달 서비스 생태계 조성을 위해 배달노동자 50명을 대상으로 ‘2022 이륜차 교통안전 실습 교육’을 추진한다고 밝혔다. 이번 교육은 최근...,박미영 기자,2022년 11월 08일 15:41
"KISTI, 첨단센서기술 지식연구회 발족",한국과학기술정보연구원(KISTI)은 지난 7일 ‘첨단센서기술 지식연구회’를 발족하고 발대식을 개최했다. KISTI는 본 지식연구회를 통해 지능형센서 데이터...,박미영 기자,2022년 11월 08일 15:38
"특구재단, 과학벨트 취·창업 페스티벌 개최",연구개발특구진흥재단(특구재단)은 국제과학비즈니스벨트(이하 과학벨트)의 연구개발(R&D) 분야 일자리 맞춤 알선 및 창업문화 활력을 위해 ‘과학벨트 취·창업...,박미영 기자,2022년 11월 08일 15:36
"신용정보원, ‘금융데이터 컨퍼런스 2022’ 개최",한국신용정보원이 주최하는 ‘금융데이터 컨퍼런스 2022’가 오는 21일 오후 2시 대한상공회의소(국제회의장)에서 온·오프라인으로 동시 개최될 예정이다.,박미영 기자,2022년 11월 08일 15:35
"부산시, 양자정보기술 생태계 기반 조성을 위한 업무협약 체결","부산시는 지난 7일 한국전자통신연구원(ETRI), 동서대, 한국퀀텀컴퓨팅(KQC)와 부산시 양자정보기술 생태계 기반 조성을 업무협약을 체결했다.",박미영 기자,2022년 11월 08일 15:33
"경북교육청, 전년 대비 정보보호 수준 한층 강화됐다","경북교육청은 지난 10월 직속기관 및 교육지원청을 대상으로 실시한 정보보호 수준 진단 결과, 전년 대비 정보보호 수준이 한층 강화됐다고 밝혔다.",박미영 기자,2022년 11월 08일 15:32
"구리시, 정보보안 관리실태 평가 종합 결과 ‘최초 S등급’ 쾌거",구리시는 지난 10월 말 경기도 시군 정보보안 관리 실태 평가 종합 결과 발표에서 시 최초로 최우수 등급인 ‘S등급’을 받는 쾌거를 달성했다.,박미영 기자,2022년 11월 08일 15:31
"대구소방, 서대구역사 테러 대응 합동 훈련 실시",대구소방안전본부 119특수구조대는 지난 3일 한국철도공사 서대구역에서 테러에 대비한 유관기관 통합 대응 훈련을 실시했다고 밝혔다. 이번 훈련은 드론에 의한...,박미영 기자,2022년 11월 08일 15:30
"남원시, 드론특별자유화구역 지정 참여기관·기업 공동 협력 업무협약 체결",남원시는 지난 7일 국토교통부가 시행하는 ‘드론 특별자유화구역’ 지정·운영을 위한 공동 협력 업무협약을 15개 기관 및 기업과 체결했다.,박미영 기자,2022년 11월 08일 15:28
"임업진흥원, ‘산림빅데이터 플랫폼’ 새로운 비즈니스 창출 모델로",한국임업진흥원은 8일 한국지능정보사회진흥원(NIA)에서 주최하는 ‘빅데이터 플랫폼 Meet-Up Day’를 통해 산림빅데이터 플랫폼의 성공 사례를 공유했다...,박미영 기자,2022년 11월 08일 15:27
"사천시, 2022년 재난대응 안전한국훈련 실시",사천시는 대규모 재난에 대비해 재난 대응 체계 점검과 유관기관과의 협업 체계 구축을 위해 오는 14일부터 25일까지 2주간 ‘2022년 재난대응 안전한국훈...,박미영 기자,2022년 11월 08일 15:25
